step,speedX,speedY,speedZ,angle,trackPos,damage,rpm,gear,accel,brake,steer,targetSpeed,section,front,best_i,best_distance,anglePlan,severity,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
99946,0.905631,-0.0679712,0.0116972,0.00850647,0.333367,0.0,5235.99,1,0.45,0.0,-0.27319124733573413,175,SHALLOW,61.938,9,61.938,0,0.2619975,5.70531,12.6396,22.5168,140.05,90.7407,77.2212,71.5548,67.2478,64.4812,61.938,59.5921,57.4218,54.6425,51.7873,47.1894,40.0253,31.0145,22.7486,11.219
99945,1.26292,-0.000229857,0.0205359,0.00875681,0.333314,0.0,5235.99,1,0.45,0.0,-0.27303970583652504,175,SHALLOW,61.8608,9,61.8608,0,0.2622941481481481,5.70721,12.6508,22.571,139.669,90.5779,77.102,71.4524,67.157,64.3978,61.8608,59.5205,57.3551,54.5817,51.7327,47.1438,39.9901,30.9897,22.7336,11.2158
99944,1.7767,-0.0670908,0.0290683,0.00905484,0.33326,0.0,5235.99,1,0.45,0.0,-0.27276976389367413,175,SHALLOW,61.7679,9,61.7679,0,0.262651125,5.70941,12.6642,22.6367,139.218,90.3836,76.9601,71.3297,67.0486,64.2977,61.7679,59.4346,57.275,54.5094,51.6673,47.0891,39.9478,30.9599,22.7159,11.212
99943,2.02564,-0.0888526,0.0356827,0.00933092,0.333161,0.0,5235.99,1,0.45,0.0,-0.2724021092320937,175,SHALLOW,61.6787,9,61.6787,0,0.2629938842592593,5.71186,12.6776,22.7022,138.791,90.1982,76.8242,71.2119,66.9436,64.2008,61.6787,59.3513,57.1973,54.4386,51.6034,47.0355,39.9062,30.9306,22.6982,11.2082
99942,2.48359,-0.113075,0.0391767,0.00960892,0.333045,0.0,5235.99,1,0.45,0.0,-0.27194742401543176,175,SHALLOW,61.5863,9,61.5863,0,0.26334893981481483,5.71447,12.6915,22.7716,138.359,90.0088,76.6841,71.0911,66.8359,64.1013,61.5863,59.2653,57.117,54.3654,51.5371,46.9799,39.8626,30.8998,22.6798,11.2041
99941,2.82767,-0.118335,0.0395506,0.01004,0.332915,0.0,5235.99,1,0.45,0.0,-0.271347910893072,175,SHALLOW,61.4494,9,61.4494,0,0.2638749907407407,5.7181,12.712,22.874,137.709,89.7262,76.4763,70.9109,66.676,63.9536,61.4494,59.1382,56.9988,54.2576,51.4399,46.8982,39.7993,30.8551,22.6528,11.1983
99940,3.26125,-0.143081,0.0394993,0.0105497,0.332765,0.0,5235.99,1,0.45,0.0,-0.2705862900392595,175,SHALLOW,61.2891,9,61.2891,0,0.26449095833333336,5.72236,12.7363,22.9969,136.948,89.3939,76.2321,70.6997,66.4885,63.7806,61.2891,58.9891,56.8598,54.1312,51.3258,46.8026,39.7249,30.8026,22.6212,11.1914
99939,3.68918,-0.147568,0.0418521,0.0111715,0.332578,0.0,5235.99,1,0.45,0.0,-0.26963063898286005,175,SHALLOW,61.0938,9,61.0938,0,0.2652414166666667,5.7276,12.7661,23.15,136.03,88.9913,75.9359,70.4434,66.2604,63.57,61.0938,58.8075,56.6907,53.9774,51.1866,46.686,39.6339,30.7384,22.5827,11.1831
99938,4.03644,-0.162655,0.0459859,0.0118181,0.332392,0.0,5235.99,1,0.45,0.0,-0.2684971962329875,175,SHALLOW,60.8928,9,60.8928,0,0.26601377777777774,5.733,12.7973,23.3126,135.089,88.5774,75.6306,70.1792,66.0255,63.3531,60.8928,58.6208,56.5165,53.8185,51.0433,46.5658,39.5401,30.6722,22.543,11.1744
99937,4.40997,-0.181403,0.0516194,0.0125257,0.332182,0.0,5235.99,1,0.45,0.0,-0.26718064496244803,175,SHALLOW,60.6738,9,60.6738,0,0.26685530555555553,5.73895,12.8316,23.4955,134.073,88.128,75.2992,69.8918,65.7699,63.1167,60.6738,58.4174,56.3266,53.6457,50.887,46.4345,39.4375,30.6,22.4994,11.165
99936,4.83886,-0.205237,0.057851,0.0132672,0.331948,0.0,5235.99,1,0.45,0.0,-0.2656884893769367,175,SHALLOW,60.4446,9,60.4446,0,0.2677360277777777,5.74534,12.8682,23.6946,133.019,87.6594,74.9524,69.5916,65.5025,62.8695,60.4446,58.2039,56.1277,53.4642,50.7229,46.2968,39.3295,30.5237,22.4536,11.1549
99935,5.28784,-0.22356,0.064571,0.0140645,0.331687,0.0,5235.99,1,0.45,0.0,-0.2640170457122408,175,SHALLOW,60.1992,9,60.1992,0,0.268679,5.75229,12.9081,23.9161,131.903,87.1603,74.5825,69.2705,65.2165,62.6051,60.1992,57.9757,55.9146,53.2701,50.5471,46.1489,39.2134,30.4419,22.4044,11.1441
99934,5.68399,-0.232933,0.0713774,0.0149161,0.331405,0.0,5235.99,1,0.45,0.0,-0.26216457038189867,175,SHALLOW,59.9388,9,59.9388,0,0.2696796111111111,5.75977,12.9511,24.1617,130.73,86.632,74.1908,68.9303,64.9133,62.3246,59.9388,57.7333,55.6883,53.0638,50.3605,45.9919,39.0898,30.3549,22.3519,11.1325
